Feature,Group
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis_spleen,30
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_liver,28
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_spleen,25
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_liver,34
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_spleen,32
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis_liver,6
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis_spleen,6
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis_liver,51
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis_spleen,51
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis_liver,64
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis_spleen,64
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis_liver,69
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis_spleen,72
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized_liver,30
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized_spleen,29
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity_liver,19
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity_spleen,12
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance_liver,49
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance_spleen,63
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_liver,80
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_spleen,79
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis_liver,30
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis_spleen,30
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_liver,28
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_spleen,25
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_liver,34
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_spleen,32
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_liver,6
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_spleen,6
log-sigma-1-0-mm-3D_glrlm_RunEntropy_liver,52
log-sigma-1-0-mm-3D_glrlm_RunEntropy_spleen,52
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized_liver,51
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized_spleen,51
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity_liver,42
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity_spleen,11
log-sigma-1-0-mm-3D_glrlm_RunPercentage_liver,51
log-sigma-1-0-mm-3D_glrlm_RunPercentage_spleen,51
log-sigma-1-0-mm-3D_glrlm_RunVariance_liver,30
log-sigma-1-0-mm-3D_glrlm_RunVariance_spleen,30
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis_liver,51
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis_spleen,51
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis_liver,80
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis_spleen,79
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_liver,6
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_spleen,6
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_liver,31
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_spleen,31
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity_liver,42
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity_spleen,11
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance_liver,49
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance_spleen,63
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis_liver,80
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis_spleen,79
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis_liver,38
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis_spleen,9
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_liver,37
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_spleen,9
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_liver,38
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_spleen,9
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_liver,6
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_spleen,4
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized_liver,49
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized_spleen,63
