Feature,pre,class,feat,organ
log-sigma-5-0-mm-3D_firstorder_Mean_spleen,log-sigma-5-0-mm-3D,firstorder,Mean,spleen
log-sigma-5-0-mm-3D_firstorder_Median_spleen,log-sigma-5-0-mm-3D,firstorder,Median,spleen
log-sigma-5-0-mm-3D_firstorder_Uniformity_spleen,log-sigma-5-0-mm-3D,firstorder,Uniformity,spleen
log-sigma-5-0-mm-3D_glcm_JointEnergy_spleen,log-sigma-5-0-mm-3D,glcm,JointEnergy,spleen
log-sigma-5-0-mm-3D_glcm_Idm_spleen,log-sigma-5-0-mm-3D,glcm,Idm,spleen
log-sigma-5-0-mm-3D_glcm_Idmn_spleen,log-sigma-5-0-mm-3D,glcm,Idmn,spleen
log-sigma-5-0-mm-3D_glcm_Id_spleen,log-sigma-5-0-mm-3D,glcm,Id,spleen
log-sigma-5-0-mm-3D_glcm_Idn_spleen,log-sigma-5-0-mm-3D,glcm,Idn,spleen
log-sigma-5-0-mm-3D_glcm_MaximumProbability_spleen,log-sigma-5-0-mm-3D,glcm,MaximumProbability,spleen
log-sigma-5-0-mm-3D_glrlm_LongRunEmphasis_spleen,log-sigma-5-0-mm-3D,glrlm,LongRunEmphasis,spleen
log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_spleen,log-sigma-5-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,spleen
log-sigma-5-0-mm-3D_glrlm_RunEntropy_spleen,log-sigma-5-0-mm-3D,glrlm,RunEntropy,spleen
log-sigma-5-0-mm-3D_glrlm_RunVariance_spleen,log-sigma-5-0-mm-3D,glrlm,RunVariance,spleen
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis_spleen,log-sigma-5-0-mm-3D,glszm,LargeAreaEmphasis,spleen
log-sigma-5-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_spleen,log-sigma-5-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,spleen
log-sigma-5-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_spleen,log-sigma-5-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,spleen
log-sigma-5-0-mm-3D_glszm_ZoneVariance_spleen,log-sigma-5-0-mm-3D,glszm,ZoneVariance,spleen
log-sigma-5-0-mm-3D_gldm_DependenceNonUniformity_spleen,log-sigma-5-0-mm-3D,gldm,DependenceNonUniformity,spleen
log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized_spleen,log-sigma-5-0-mm-3D,gldm,DependenceNonUniformityNormalized,spleen
log-sigma-5-0-mm-3D_gldm_GrayLevelNonUniformity_spleen,log-sigma-5-0-mm-3D,gldm,GrayLevelNonUniformity,spleen
log-sigma-5-0-mm-3D_gldm_LargeDependenceEmphasis_spleen,log-sigma-5-0-mm-3D,gldm,LargeDependenceEmphasis,spleen
wavelet-LLH_firstorder_Mean_spleen,wavelet-LLH,firstorder,Mean,spleen
wavelet-LLH_glrlm_GrayLevelNonUniformity_spleen,wavelet-LLH,glrlm,GrayLevelNonUniformity,spleen
wavelet-LHL_firstorder_Mean_spleen,wavelet-LHL,firstorder,Mean,spleen
wavelet-LHL_firstorder_Median_spleen,wavelet-LHL,firstorder,Median,spleen
wavelet-LHH_glrlm_GrayLevelNonUniformity_spleen,wavelet-LHH,glrlm,GrayLevelNonUniformity,spleen
wavelet-LHH_gldm_DependenceNonUniformity_spleen,wavelet-LHH,gldm,DependenceNonUniformity,spleen
wavelet-HLL_firstorder_Mean_spleen,wavelet-HLL,firstorder,Mean,spleen
wavelet-HLL_firstorder_Median_spleen,wavelet-HLL,firstorder,Median,spleen
wavelet-HLH_glrlm_GrayLevelNonUniformity_spleen,wavelet-HLH,glrlm,GrayLevelNonUniformity,spleen
wavelet-HLH_gldm_DependenceNonUniformity_spleen,wavelet-HLH,gldm,DependenceNonUniformity,spleen
wavelet-HLH_gldm_GrayLevelNonUniformity_spleen,wavelet-HLH,gldm,GrayLevelNonUniformity,spleen
wavelet-HHH_glrlm_GrayLevelNonUniformity_spleen,wavelet-HHH,glrlm,GrayLevelNonUniformity,spleen
wavelet-HHH_gldm_DependenceNonUniformity_spleen,wavelet-HHH,gldm,DependenceNonUniformity,spleen
wavelet-HHH_gldm_GrayLevelNonUniformity_spleen,wavelet-HHH,gldm,GrayLevelNonUniformity,spleen
wavelet-LLL_firstorder_Energy_spleen,wavelet-LLL,firstorder,Energy,spleen
wavelet-LLL_firstorder_TotalEnergy_spleen,wavelet-LLL,firstorder,TotalEnergy,spleen
