FeatureGroup, Features
1,['log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_liver', 'log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_liver', 'wavelet-LLH_glszm_GrayLevelNonUniformityNormalized_liver', 'wavelet-LLL_glrlm_LowGrayLevelRunEmphasis_liver', 'wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'wavelet-LLL_glszm_LowGrayLevelZoneEmphasis_liver', 'wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'wavelet-LLL_gldm_LowGrayLevelEmphasis_liver', 'log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_spleen', 'log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_spleen', 'wavelet-LLH_glszm_GrayLevelNonUniformityNormalized_spleen']
2,['wavelet-LHH_glcm_InverseVariance_liver', 'wavelet-HLH_glcm_InverseVariance_liver', 'wavelet-HLH_glszm_GrayLevelNonUniformityNormalized_liver', 'wavelet-HHH_glcm_InverseVariance_liver', 'wavelet-LHH_glcm_InverseVariance_spleen', 'wavelet-HLH_glcm_InverseVariance_spleen', 'wavelet-HHH_glcm_InverseVariance_spleen']
3,['wavelet-LLH_firstorder_Minimum_liver', 'wavelet-LLH_glrlm_LowGrayLevelRunEmphasis_liver', 'wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'wavelet-LLH_gldm_LowGrayLevelEmphasis_liver', 'wavelet-LHL_firstorder_Minimum_liver', 'wavelet-LHL_glrlm_LowGrayLevelRunEmphasis_liver', 'wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'wavelet-LHL_glszm_LowGrayLevelZoneEmphasis_liver', 'wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'wavelet-LHL_gldm_LowGrayLevelEmphasis_liver', 'wavelet-LHH_firstorder_Minimum_liver', 'wavelet-LHH_glrlm_LowGrayLevelRunEmphasis_liver', 'wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'wavelet-LHH_glszm_LowGrayLevelZoneEmphasis_liver', 'wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'wavelet-LHH_gldm_LowGrayLevelEmphasis_liver', 'wavelet-HLH_glrlm_LowGrayLevelRunEmphasis_liver', 'wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'wavelet-HLH_glszm_LowGrayLevelZoneEmphasis_liver', 'wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'wavelet-HLH_gldm_LowGrayLevelEmphasis_liver', 'wavelet-HHH_firstorder_Minimum_liver', 'wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis_liver', 'wavelet-HHH_glrlm_LowGrayLevelRunEmphasis_liver', 'wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis_liver', 'wavelet-HHH_glszm_LowGrayLevelZoneEmphasis_liver', 'wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis_liver', 'wavelet-HHH_gldm_LowGrayLevelEmphasis_liver', 'wavelet-LLH_firstorder_Minimum_spleen', 'wavelet-LHH_firstorder_Minimum_spleen', 'wavelet-HHH_firstorder_Minimum_spleen']
4,['log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_spleen', 'log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'log-sigma-4-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'log-sigma-5-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-LLH_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-LLH_gldm_LowGrayLevelEmphasis_spleen', 'wavelet-HLL_firstorder_Minimum_spleen', 'wavelet-HLL_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-HLL_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-HLL_gldm_LowGrayLevelEmphasis_spleen', 'wavelet-HLH_firstorder_Minimum_spleen', 'wavelet-HLH_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-HLH_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-HLH_gldm_LowGrayLevelEmphasis_spleen']
5,['log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'log-sigma-4-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'log-sigma-5-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'original_glrlm_LowGrayLevelRunEmphasis_spleen', 'original_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'original_glszm_LowGrayLevelZoneEmphasis_spleen', 'original_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'original_gldm_LowGrayLevelEmphasis_spleen', 'wavelet-LLH_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-LHL_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-LHL_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-LHL_gldm_LowGrayLevelEmphasis_spleen', 'wavelet-LHH_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-LHH_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-LHH_gldm_LowGrayLevelEmphasis_spleen', 'wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis_spleen', 'wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis_spleen', 'wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis_spleen', 'wavelet-HHL_firstorder_Minimum_spleen', 'wavelet-HHL_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-HHL_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-HHL_gldm_LowGrayLevelEmphasis_spleen', 'wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis_spleen', 'wavelet-HHH_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-HHH_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis_spleen', 'wavelet-HHH_gldm_LowGrayLevelEmphasis_spleen', 'wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis_spleen', 'wavelet-LLL_glrlm_LowGrayLevelRunEmphasis_spleen', 'wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'wavelet-LLL_glszm_LowGrayLevelZoneEmphasis_spleen', 'wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'wavelet-LLL_gldm_LowGrayLevelEmphasis_spleen']
6,['log-sigma-1-0-mm-3D_firstorder_Minimum_liver', 'log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_liver', 'log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_liver', 'log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis_liver', 'log-sigma-2-0-mm-3D_firstorder_Minimum_liver', 'log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_liver', 'log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_liver', 'log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis_liver', 'log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_liver', 'log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_liver', 'log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis_liver', 'wavelet-HLL_firstorder_Minimum_liver', 'wavelet-HLL_glrlm_LowGrayLevelRunEmphasis_liver', 'wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis_liver', 'wavelet-HLL_glszm_LowGrayLevelZoneEmphasis_liver', 'wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis_liver', 'wavelet-HLL_gldm_LowGrayLevelEmphasis_liver', 'wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis_liver', 'log-sigma-1-0-mm-3D_firstorder_Minimum_spleen', 'log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_spleen', 'log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_spleen', 'log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis_spleen', 'log-sigma-2-0-mm-3D_firstorder_Minimum_spleen', 'log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_spleen', 'log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_spleen', 'log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis_spleen', 'log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_spleen', 'log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_spleen', 'log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_spleen', 'log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis_spleen', 'log-sigma-4-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_spleen', 'log-sigma-4-0-mm-3D_gldm_LowGrayLevelEmphasis_spleen', 'log-sigma-5-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_spleen', 'log-sigma-5-0-mm-3D_gldm_LowGrayLevelEmphasis_spleen']
7,['original_shape_Sphericity_liver', 'wavelet-LHL_firstorder_Median_liver', 'wavelet-HLL_firstorder_Median_liver', 'original_shape_Flatness_spleen']
8,['wavelet-HHH_glcm_Imc1_liver', 'original_shape_Sphericity_spleen', 'original_glcm_ClusterShade_spleen', 'wavelet-HLL_firstorder_Skewness_spleen', 'wavelet-HLL_glcm_ClusterShade_spleen', 'wavelet-HHL_firstorder_Median_spleen', 'wavelet-HHL_firstorder_Skewness_spleen', 'wavelet-HHL_glcm_ClusterShade_spleen', 'wavelet-HHH_glcm_Imc1_spleen', 'wavelet-LLL_glcm_ClusterShade_spleen']
9,['original_glrlm_GrayLevelNonUniformity_spleen', 'original_gldm_GrayLevelNonUniformity_spleen', 'log-sigma-1-0-mm-3D_firstorder_Median_spleen', 'log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis_spleen', 'log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_spleen', 'log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_spleen', 'log-sigma-1-0-mm-3D_glszm_ZoneVariance_spleen', 'log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity_spleen', 'log-sigma-2-0-mm-3D_glcm_Idmn_spleen', 'log-sigma-2-0-mm-3D_glcm_Idn_spleen', 'log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_spleen', 'log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_spleen', 'log-sigma-3-0-mm-3D_glrlm_RunEntropy_spleen', 'wavelet-LLH_firstorder_Median_spleen', 'wavelet-LLH_glszm_LargeAreaEmphasis_spleen', 'wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis_spleen', 'wavelet-LLH_glszm_ZoneVariance_spleen', 'wavelet-LLH_gldm_GrayLevelNonUniformity_spleen', 'wavelet-LHL_glrlm_GrayLevelNonUniformity_spleen', 'wavelet-LHL_gldm_GrayLevelNonUniformity_spleen', 'wavelet-LHH_gldm_GrayLevelNonUniformity_spleen', 'wavelet-HLL_glrlm_GrayLevelNonUniformity_spleen', 'wavelet-HLL_gldm_GrayLevelNonUniformity_spleen', 'wavelet-HHL_glrlm_GrayLevelNonUniformity_spleen', 'wavelet-HHL_gldm_GrayLevelNonUniformity_spleen', 'wavelet-LLL_glrlm_GrayLevelNonUniformity_spleen', 'wavelet-LLL_gldm_GrayLevelNonUniformity_spleen']
10,['log-sigma-2-0-mm-3D_firstorder_Energy_spleen', 'log-sigma-2-0-mm-3D_firstorder_TotalEnergy_spleen', 'log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity_spleen', 'log-sigma-3-0-mm-3D_firstorder_Energy_spleen', 'log-sigma-3-0-mm-3D_firstorder_TotalEnergy_spleen', 'log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity_spleen', 'log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity_spleen', 'log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_spleen', 'log-sigma-4-0-mm-3D_firstorder_Energy_spleen', 'log-sigma-4-0-mm-3D_firstorder_TotalEnergy_spleen', 'log-sigma-4-0-mm-3D_glrlm_RunLengthNonUniformity_spleen', 'log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformity_spleen', 'log-sigma-4-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_spleen', 'log-sigma-5-0-mm-3D_firstorder_Energy_spleen', 'log-sigma-5-0-mm-3D_firstorder_TotalEnergy_spleen', 'log-sigma-5-0-mm-3D_glrlm_RunLengthNonUniformity_spleen', 'log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity_spleen', 'log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_spleen']
